pitch_type,release_speed,release_spin_rate,release_pos_z,release_pos_x,spin_axis,SeamLat,SeamLon,pfx_x,pfx_z
FF,94.0,2377,6.2,-2.97,204,-4.179005185594212,59.17172096028483,-0.66,1.5
FF,93.2,2456,6.21,-2.9,206,-5.178592000947603,59.650650866509025,-0.7,1.44
FF,94.7,2478,6.02,-1.98,212,-3.576380806544768,54.043544142996396,-0.83,1.36
FF,94.0,2500,6.16,-1.83,202,-2.7564401258455042,62.34440058718026,-0.6,1.46
FF,91.6,2517,6.27,-2.02,214,-4.987418507358408,52.67633584746029,-1.01,1.49
FF,95.6,2338,6.06,-2.12,205,-2.4389074578064758,59.75501596330637,-0.66,1.39
FF,94.6,2197,6.18,-1.96,204,-2.72776558852405,67.37926271066543,-0.55,1.25
FF,94.8,2270,6.14,-1.93,207,-2.0522654801782374,63.78766386345317,-0.62,1.23
FF,94.1,2263,6.21,-1.92,205,-3.4819056456823962,68.9635240461817,-0.54,1.15
FF,93.7,2336,6.23,-1.8,198,-3.0908349896970564,69.40310677240326,-0.46,1.4
FF,96.0,2322,6.04,-1.7,210,-3.9597341348169315,59.44633921193519,-0.73,1.25
FF,94.8,2286,6.32,-1.62,199,-2.4494461967437036,67.22860165316781,-0.49,1.39
FF,96.3,2296,6.07,-1.76,211,-2.9909844116245017,60.07165659360168,-0.73,1.2
FF,95.1,2303,6.25,-1.75,207,-2.641399583663957,59.958281113878584,-0.69,1.34
FF,95.4,2339,6.19,-1.74,208,-3.1496448215477186,59.47316558131883,-0.71,1.34
FF,94.8,2330,6.33,-2.49,202,-4.934946962781561,63.278137815185815,-0.57,1.4
FF,95.3,2400,6.05,-3.01,210,-5.292364508660256,57.46693531186628,-0.77,1.32
FF,95.7,2293,6.07,-3.03,203,-3.6095199731944145,64.59749433919193,-0.56,1.33
FF,95.5,2304,6.0,-3.06,209,-5.916704194615542,53.541872194393626,-0.81,1.47
FF,94.4,2400,6.28,-2.98,205,-3.4632621015595753,57.830153915098315,-0.7,1.47
FF,95.3,2443,6.18,-1.83,204,-3.7298895042794418,57.98416818032531,-0.67,1.48
FF,95.1,2422,6.09,-1.93,207,-2.984713396720804,60.94238473311885,-0.69,1.32
FF,94.5,2443,6.2,-1.57,212,-4.3882566451531195,57.85955711891148,-0.79,1.29
FF,94.5,2477,5.96,-2.0,214,-3.9462932407949296,50.6451282462864,-0.96,1.42
FF,95.2,2416,6.15,-3.07,204,-4.928048102137384,64.05708385313909,-0.59,1.33
FF,95.3,2326,6.22,-2.83,213,-5.314505344281599,58.375210961259704,-0.8,1.24
FF,95.2,2360,6.22,-2.82,202,-4.993560964084087,61.72403028218204,-0.57,1.45
FF,93.7,2380,6.23,-3.03,201,-4.158877864367141,66.38178038203657,-0.53,1.37
FF,95.8,2500,6.14,-2.7,210,-4.694842585433148,51.025434712686625,-0.85,1.49
FF,95.9,2380,6.24,-2.7,203,-4.536485021711349,59.80851444901451,-0.61,1.46
FF,97.2,2350,6.06,-2.71,207,-4.341267470142489,56.511102937765486,-0.71,1.38
FF,95.1,2397,6.24,-2.73,208,-3.9053261039501606,57.465583066515656,-0.74,1.41
FF,95.5,2352,6.2,-2.64,203,-4.910376015167223,63.400180982830975,-0.59,1.36
FF,94.3,2390,6.28,-2.76,195,-4.955214139817645,69.20658503259739,-0.4,1.54
FF,95.2,2384,6.09,-2.81,194,-5.447113682044877,66.79570081561089,-0.41,1.6
FF,94.4,2276,6.26,-2.71,191,-4.232201332236269,74.45605028808131,-0.3,1.51
FF,93.8,2326,6.15,-2.06,216,-3.691474197287327,58.44272576821481,-0.87,1.21
FF,93.8,2333,6.22,-1.71,201,-4.644727492490692,69.68160852436695,-0.49,1.3
