pitch_type,release_speed,release_spin_rate,release_pos_z,release_pos_x,spin_axis,SeamLat,SeamLon,pfx_x,pfx_z
FF,95.9,2268,6.1,-2.53,215,-5.081226735775452,74.12480142728951,-0.31,1.42
FF,93.1,2367,6.26,-2.52,215,-4.213610653353797,64.9992725314304,-0.56,1.41
FF,93.0,2221,6.26,-2.74,219,-2.836338423363532,81.31305693291984,-0.17,1.53
FF,93.6,2384,6.14,-2.66,212,-4.174690211218311,67.99354128813611,-0.46,1.46
FF,91.4,2325,6.3,-2.64,205,-4.092835335692027,79.25951788265532,-0.27,1.32
FF,92.3,2356,6.3,-2.68,210,-3.2470248744954966,79.10710957549716,-0.23,1.45
FF,92.8,2245,6.26,-2.93,215,-4.415242783265096,61.19867382711569,-0.71,1.36
FF,91.5,2125,6.26,-2.74,213,-3.698365864150254,68.99897318052015,-0.5,1.41
FF,91.9,2225,6.27,-2.73,216,-5.307906018131798,68.90033894391738,-0.58,1.2
FF,93.0,2262,6.02,-2.61,217,-4.645121890111367,65.51104608015338,-0.51,1.55
FF,92.2,2224,6.19,-2.58,213,-5.875014158158789,67.72801360484218,-0.42,1.71
FF,93.6,2343,6.07,-2.78,211,-5.026998936618475,67.97896324291877,-0.48,1.44
FF,93.2,2173,5.99,-2.83,220,-3.6926003377407484,65.20104736491547,-0.53,1.5
FF,91.6,2357,6.24,-2.65,205,-2.813411768267568,71.2511612463177,-0.41,1.52
FF,92.8,2273,5.99,-2.95,219,-4.068163712804569,58.02189896299589,-0.7,1.55
FF,92.3,2263,6.04,-2.77,216,-4.401624620006506,61.40533377437375,-0.66,1.5
FF,93.8,2203,6.09,-2.74,215,-4.3218457011847455,69.38232370656989,-0.41,1.5
FF,92.7,2473,6.08,-2.83,217,-5.580017167517219,61.086882270335664,-0.62,1.52
FF,92.6,2201,6.15,-2.81,217,-2.9133740932581302,69.96577183944925,-0.49,1.32
FF,94.1,2371,6.11,-2.91,218,-4.8605243981071045,61.406081927344594,-0.51,1.66
FF,93.3,2362,6.08,-3.0,217,-5.079846620008721,52.942159896035704,-0.85,1.5
FF,94.2,2325,6.08,-2.9,217,-3.8247332160865075,72.06475461840034,-0.39,1.36
FF,92.7,2164,6.2,-2.75,208,-3.777524196318389,72.47143373710247,-0.47,1.15
FF,91.8,2170,6.05,-2.96,216,-3.96063154353907,80.89661189927658,-0.23,1.27
FF,92.3,2197,6.17,-2.75,212,-2.8034721980384254,73.30268430879435,-0.38,1.4
FF,92.0,2077,6.19,-2.87,215,-3.4132605987067293,71.96391076433088,-0.46,1.25
FF,90.5,2069,6.11,-2.7,216,-4.146383050218701,75.51370565863105,-0.37,1.35
FF,91.5,2108,6.22,-2.64,220,-4.643022495704695,71.44838635934356,-0.45,1.38
FF,93.2,2259,6.02,-2.92,224,-4.017621718422597,60.628830273490806,-0.72,1.35
FF,93.3,2230,6.11,-2.69,215,-3.4276868825530102,65.02200950527202,-0.6,1.32
FF,91.9,2279,6.14,-2.76,220,-4.102122253902948,67.71487937744594,-0.53,1.39
FF,91.3,2255,6.07,-3.04,206,-2.9792576340229595,71.09161470677404,-0.43,1.47
FF,91.3,2090,6.13,-2.92,217,-2.449381196810111,77.96103573947128,-0.33,1.17
FF,91.5,2123,6.11,-2.85,214,-3.679409095488576,74.46432793755622,-0.36,1.42
FF,92.6,2234,6.1,-3.04,218,-3.223676999399792,66.90742346129701,-0.6,1.24
FF,91.6,2226,6.14,-2.92,215,-4.125943873095591,68.88188359257224,-0.56,1.26
FF,92.2,2066,6.19,-2.58,217,-3.9984368171984426,65.84505533466971,-0.57,1.41
FF,91.1,1964,6.27,-2.83,214,-1.963384900518591,68.97535741970106,-0.55,1.3
FF,91.7,2152,6.17,-2.66,211,-3.7313048356537597,68.1750134517825,-0.59,1.23
FF,92.1,2092,6.16,-2.63,224,-4.00924551141978,67.81534299714107,-0.64,1.12
FF,91.6,2192,6.28,-2.31,211,-3.847481197548377,73.19391017605741,-0.41,1.36
FF,91.4,2195,6.32,-2.41,212,-4.764792601262859,66.80713890350486,-0.54,1.47
FF,92.4,2224,6.11,-2.7,212,-3.027147241419895,68.86335978590837,-0.56,1.23
FF,93.1,2190,6.14,-2.6,212,-4.064173422509173,73.19220128543476,-0.42,1.23
FF,94.9,2235,6.13,-2.61,215,-4.677147260403454,67.61787512115993,-0.52,1.29
FF,93.3,2209,6.19,-2.64,209,-4.2971511820609996,72.88769460438797,-0.45,1.14
FF,92.9,2216,6.24,-2.58,213,-4.145721247920571,73.10233904944965,-0.44,1.17
FF,92.6,2267,6.2,-2.77,215,-3.099491560884109,75.61547289350665,-0.35,1.27
FF,92.6,2106,6.27,-2.62,215,-4.922161227759503,67.70457960031449,-0.55,1.33
FF,93.4,2092,6.24,-2.73,215,-4.170032145800374,70.34281615787384,-0.5,1.2
FF,91.6,2105,6.31,-2.68,211,-3.0730478341624985,77.270456149371,-0.31,1.29
FF,92.2,2118,6.21,-2.87,216,-2.2392875197995585,74.66088070312544,-0.39,1.24
FF,91.0,2092,6.3,-2.79,214,-2.8314852216040114,74.95005961731167,-0.4,1.21
FF,93.6,2361,6.07,-2.58,216,-4.345257445775179,72.86401439387593,-0.38,1.33
FF,93.1,2328,6.14,-2.72,213,-3.719504528789717,76.78235406833022,-0.32,1.25
FF,93.5,2266,6.19,-2.71,211,-3.6369036532458523,74.99108468583334,-0.36,1.25
FF,91.6,2208,6.17,-3.01,211,-2.535269699524482,74.60837932978379,-0.42,1.19
FF,93.0,2231,6.14,-3.01,217,-2.857314210505574,73.84362345957166,-0.38,1.33
FF,90.8,2177,6.15,-2.84,209,-2.2856133061274,85.71974492646062,-0.12,1.18
FF,91.9,2209,6.16,-3.08,210,-2.8993384328059126,78.82395639811398,-0.27,1.37
FF,93.0,2340,6.14,-2.8,213,-3.955503802204718,65.92434260371408,-0.65,1.16
FF,94.6,2320,6.05,-2.6,209,-4.401277158220247,80.1568360964081,-0.22,1.24
FF,93.9,2300,6.14,-2.59,210,-3.5145132613908134,78.5570731414977,-0.26,1.29
FF,93.8,2374,6.12,-2.7,212,-4.466638486978102,70.02597351951887,-0.44,1.36
FF,93.7,2300,6.16,-2.59,214,-5.008137080101665,69.19790467931573,-0.49,1.28
FF,91.9,2171,6.28,-2.47,216,-4.2892820192962455,69.23165100645305,-0.53,1.29
FF,92.0,2203,6.33,-2.69,215,-4.1699346211907775,67.70011514544912,-0.57,1.29
FF,92.3,2337,6.29,-2.35,214,-4.422260965661054,75.28007124859441,-0.34,1.37
FF,91.9,2256,6.47,-2.75,217,-3.2224893387617293,69.49222492957183,-0.47,1.43
FF,93.6,2182,6.39,-2.31,212,-3.7395290815262463,63.940009901620755,-0.59,1.42
FF,93.9,2282,6.31,-2.5,215,-4.418544395370527,63.357891816899766,-0.64,1.32
FF,91.9,2195,6.44,-2.53,211,-4.200850225342537,76.51910599291514,-0.31,1.45
FF,92.7,2131,6.33,-2.54,212,-4.826860531838226,73.14094137139963,-0.39,1.38
FF,93.5,2227,6.33,-2.65,218,-4.822360083063276,69.91613870092631,-0.44,1.43
FF,93.9,2278,6.31,-2.61,211,-4.385165303342055,73.99827382710122,-0.33,1.46
FF,92.8,2161,6.34,-2.6,218,-4.664285876533988,66.40988834948293,-0.56,1.39
FF,92.8,2227,6.35,-2.78,212,-3.0879233533134864,68.28486792339572,-0.46,1.51
FF,91.2,2234,6.32,-2.86,216,-3.7321672878559013,69.33431434207276,-0.48,1.48
FF,92.7,2200,6.23,-3.14,223,-2.5615288155405596,69.67490152785253,-0.45,1.44
FF,91.7,2180,6.26,-2.99,219,-3.8909669818371055,66.22197349065796,-0.57,1.42
FF,93.8,2300,6.16,-2.4,217,-3.9541869680326265,67.58700584829144,-0.52,1.35
FF,92.2,2223,6.41,-2.26,209,-3.0251183770155845,67.97369055002297,-0.48,1.49
FF,92.8,2242,6.24,-2.43,212,-4.230536290482335,72.24188298314206,-0.43,1.31
FF,92.1,2196,6.18,-2.55,215,-3.2636007595464305,75.27518670935798,-0.39,1.19
FF,91.4,2163,6.31,-2.74,213,-3.039264147530136,72.84144535646715,-0.45,1.27
FF,94.1,2332,6.01,-2.44,216,-4.231037714951424,67.52729713680513,-0.54,1.26
FF,92.3,2286,6.32,-2.3,214,-3.231724009299815,77.20627586305923,-0.34,1.2
FF,93.8,2311,5.98,-2.64,217,-4.696785830484897,69.57585948941662,-0.51,1.24
FF,93.6,2301,6.17,-2.67,219,-2.626824573612287,75.3418305866033,-0.37,1.19
FF,93.6,2309,6.19,-2.67,223,-3.0594063259526125,78.68428743521814,-0.2,1.6
FF,94.2,2284,6.13,-2.69,225,-3.0919863543250012,71.7663291513019,-0.33,1.56
FF,95.2,2259,6.26,-2.47,217,-4.5341695465646525,64.56587301635675,-0.56,1.38
FF,94.3,2316,6.22,-2.45,215,-4.496944419826453,71.37625778929832,-0.4,1.4
FF,93.8,2166,6.25,-2.6,214,-4.856283633045085,74.91513351015499,-0.34,1.34
FF,93.1,2151,6.36,-2.68,214,-4.473068638263773,68.33271207860562,-0.45,1.51
FF,89.8,2116,6.23,-2.73,213,-4.087376376828652,75.9608528442696,-0.39,1.26
FF,92.1,2156,6.24,-2.64,216,-4.867256730827032,69.76383036051712,-0.53,1.25
FF,92.0,2173,6.09,-2.93,215,-3.4610803251738007,72.64058623681619,-0.46,1.2
FF,92.0,2151,6.21,-2.82,215,-3.9639631692546335,80.42394914133337,-0.25,1.18
FF,89.9,2182,6.45,-2.78,214,-1.9883616435203422,79.25177351337196,-0.26,1.47
FF,92.2,2189,6.22,-2.94,211,-3.3103038212197022,72.6673105152518,-0.4,1.42
FF,91.9,2191,6.06,-2.87,224,-4.0781392061170125,72.11248918869545,-0.49,1.17
FF,92.6,2283,6.26,-2.68,211,-3.799118410307906,73.14925829405436,-0.44,1.19
FF,93.2,2230,6.26,-2.55,218,-5.947192557054384,58.166033191950646,-0.88,1.21
FF,91.9,2148,6.18,-2.75,212,-4.410681404730737,72.25058378848499,-0.41,1.41
FF,92.5,2324,6.19,-2.65,213,-4.197215793388066,83.70627733940954,-0.14,1.4
FF,92.8,2282,6.21,-2.76,220,-2.757378578468479,74.89677502715878,-0.32,1.48
FF,92.9,2266,6.16,-2.85,217,-5.627313000206372,68.91759664549889,-0.49,1.37
FF,91.7,2208,6.21,-2.94,217,-4.187752297988431,66.22091371769946,-0.68,1.15
FF,90.7,2122,6.18,-3.06,222,-4.790118008809071,68.65250967209488,-0.66,1.07
FF,92.6,2204,6.11,-2.86,219,-5.041780597078044,62.673274468655165,-0.68,1.33
FF,94.2,2070,6.08,-2.8,219,-3.522592928741895,72.18427633680878,-0.53,0.88
FF,93.3,2185,5.94,-2.83,220,-3.2272942719931894,69.43852174191666,-0.53,1.19
FF,92.9,2146,6.09,-2.86,216,-2.0066478708581874,73.28851405367861,-0.42,1.23
