,release_pos_x,release_pos_y,release_pos_z,SpinX_rpm,SpinY_rpm,SpinZ_rpm,release_speed
8,1.32,54.18,6.17,-216.4915805430149,2294.810753755958,-955.5739678639359,90.7
9,1.3,54.36,6.16,-253.02027977027527,2385.619780691167,-1158.492642253417,90.8
18,1.37,54.16,6.2,-665.6566033449681,2467.8000904496375,-1090.5056438975323,90.8
