pitch_type,player_name,release_speed,release_spin_rate,release_pos_z,release_pos_x,plate_z,plate_x,vx0,vy0,vz0,ax,ay,az,SpinX,SpinY,SpinZ
FF,"Duffey, Tyler",90.0,2168,6.23,-2.39,3.02,0.61,7.258427941426954,-130.91551433994928,-4.341587672734831,-0.5481435441969852,27.58760274455408,-18.73421833179133,0.9973169582736926,0.053642887346654955,0.04981290371805191
FF,"Duffey, Tyler",90.7,2230,6.1,-2.5,2.78,-0.36,5.7784132303536255,-132.05610249436722,-5.554115004357941,-3.3748334746767243,25.714978186021728,-14.136747210705533,0.9880433321191531,0.049376992466063564,-0.1460557649320532
FF,"Duffey, Tyler",90.9,2269,6.16,-2.6,3.28,0.01,6.942605688683895,-132.36428056398796,-4.161636189783288,-3.300811579857777,22.87686893775837,-16.30402814479269,0.9909230764844319,0.05581965089276674,-0.12229318486669033
FF,"Duffey, Tyler",90.9,2138,6.16,-2.52,3.72,0.43,7.726117247929287,-132.33148691696326,-2.981592440462373,-3.234983376709146,23.300726274907333,-16.916863836787726,0.9924618657861707,0.06034777394034349,-0.10666579180167449
FF,"Duffey, Tyler",90.4,2208,6.08,-2.65,3.51,-0.52,5.671268165546331,-131.66003280960567,-3.000727694074359,-3.062859850065351,26.447126643149787,-18.131071228337294,0.9937557952144052,0.045131808694544175,-0.10204185083456944
FF,"Duffey, Tyler",91.0,2191,6.25,-2.66,3.24,0.43,8.13233479237769,-132.38839224284234,-4.636588770551859,-3.7254378162496673,24.571476861979814,-15.244825763889414,0.9885391826133296,0.0654876448482516,-0.13602078080352076
FF,"Duffey, Tyler",90.7,2267,6.26,-2.46,4.54,-0.5,5.419808449146288,-132.1758480462334,-1.3157345424042477,-3.8292041686118528,25.343715259886743,-16.30870258299855,0.9852320978377725,0.042051215415421644,-0.16598014541585276
FF,"Duffey, Tyler",90.5,2357,6.3,-2.24,3.58,0.14,6.35948683851554,-131.73042260102753,-3.758860388214159,-3.5646666320663947,26.8430938764706,-15.800126115591164,0.9894302945263558,0.05163283534841428,-0.13550550759055038
FF,"Duffey, Tyler",90.5,2267,6.12,-2.42,2.19,0.21,7.225343355778479,-131.65912218060367,-6.748679497258485,-4.914785691742495,24.156092206814527,-15.642993797836928,0.97611864069806,0.06420645708376722,-0.2075329616001323
FF,"Duffey, Tyler",92.4,2320,6.11,-2.42,1.68,1.4,9.53466951241547,-134.1617307626597,-8.318674585369294,-0.5721330655844534,24.852119535167898,-15.19096906764685,0.9952666776706626,0.06632807083497134,0.07102694796844569
FF,"Duffey, Tyler",92.6,2351,6.16,-2.42,2.28,0.03,6.4273043225532085,-134.7597833539075,-7.0540470830543125,-2.110816183641817,25.449128833783863,-14.828643065911155,0.9971911991202735,0.050457920450013516,-0.05535079638931333
FF,"Duffey, Tyler",92.2,2279,6.27,-2.39,1.1,0.38,7.054602244453503,-133.9585002449085,-10.304617867643694,-1.4149870932557844,25.45586574605803,-13.910277014384176,0.9985862710983805,0.05294836967280981,-0.004682875486632922
FF,"Duffey, Tyler",92.6,2281,6.2,-2.72,1.43,0.31,8.10911651679926,-134.4975204585742,-9.305202953969982,-3.661755018336319,25.669009960722956,-14.397816075499156,0.9892298523596266,0.06858857915292486,-0.12930547556207422
FF,"Duffey, Tyler",91.8,2356,6.19,-3.01,3.59,0.09,7.932306562753286,-133.616488511736,-3.625808453739289,-1.871778942048608,25.13961396479337,-15.945522055159469,0.9979469960180087,0.05986213885315243,-0.02276658671295126
FF,"Duffey, Tyler",89.9,2289,6.3,-2.56,2.13,-0.74,5.176891886004792,-130.86705191827636,-6.946558350673044,-4.719477511960269,23.63737565358841,-17.155881108937812,0.9783252238832536,0.04937565951689166,-0.20110146832147593
FF,"Duffey, Tyler",92.0,2235,6.03,-2.7,4.79,-1.07,4.252811445305511,-133.9355531678933,0.4588518965424588,-1.6698305742651138,30.54018578993775,-19.979473718710125,0.9988811768500729,0.031596600548306646,-0.03518592571475509
FF,"Duffey, Tyler",92.8,2359,5.95,-2.62,2.27,-0.32,6.838485071396341,-134.96118941098948,-6.304251780401906,-6.833197598255487,28.124338957045133,-16.097895759273303,0.9531491045376475,0.06212517252267655,-0.2960527781631318
FF,"Duffey, Tyler",91.6,2418,6.06,-2.71,2.74,0.47,8.933047590654953,-133.0478406086266,-6.082555983647801,-6.817095910679506,29.91614108939557,-11.130117176658322,0.9304000739637347,0.07883380274066502,-0.35796778334610346
FF,"Duffey, Tyler",91.6,2270,5.96,-2.8,3.71,-0.48,6.722585248213885,-133.28432213345857,-2.8819151725258614,-6.272090367362778,28.85156081013629,-14.930525808883246,0.9538242115691918,0.05449572579993156,-0.2953804145402133
FF,"Duffey, Tyler",92.2,2424,5.9,-2.69,2.11,0.07,8.176694414968685,-133.8683519417723,-7.377726892903492,-8.207709184320457,30.96268596502996,-10.659676336367156,0.887751128239937,0.0792147587233516,-0.45345667522831784
FF,"Duffey, Tyler",91.6,2271,5.95,-2.84,3.01,-0.94,5.358993281616062,-133.172032747017,-4.993253344840831,-4.155218477052737,29.9789435270613,-12.250977822686853,0.975453651121488,0.04731702262663898,-0.21506109337467014
FF,"Duffey, Tyler",93.1,2253,5.97,-2.28,2.31,1.29,9.867202514900134,-135.20261566876422,-6.352335654697248,-6.03097036820084,28.52269036015525,-15.788032396231449,0.9711984900920696,0.08140028181536899,-0.2239363457843829
